Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,4.297469250413558,3.7194760541571243,,,,,,,,,-10.02416380137589,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.770756491399254,-54.569183915647535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,45 Hour Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ECR,,HC (+/-),,,HC % to Staffed,,,,RKD,,HC (+/-),,,HC % to Staffed,,,,MSQ,,HC (+/-),,,HC % to Staffed,,,,,
,,,,,1 to 4,5 to 8,9 to 12,1 to 4,5 to 8,9 to 12,,,,1 to 4,5 to 8,9 to 12,1 to 4,5 to 8,9 to 12,,,,1 to 4,5 to 8,9 to 12,1 to 4,5 to 8,9 to 12,,,
,,,,Shipping,-12.966230316827927,-24.558214016578752,-33.166760510510514,1.0875896786562875,1.1799904174485283,1.259453336573212,,,Shipping,-6.443474313789319,-19.804569841663795,-22.71971574639897,1.1117453164904663,1.2351378213742634,1.3460882746653688,,,Shipping,-19.72971602434077,-19.19758064516129,-25.41244939271255,1.1825361426637004,1.4131473106045,1.6524620670175512,,,
,,,,Ecomm,1.2389880952380952,-0.5595238095238095,2.9901785714285714,0.8897598178110849,1.059268600252207,0.7698123582376796,,,Ecomm,0.85,-0.0744140625,1.801171875,0.8014120116395553,1.1260053619302948,0.6257682422617052,,,Ecomm,4.4614864864864865,2.527702702702703,4.75777027027027,0.8014120116395553,1.1260053619302948,0.6257682422617052,,,
,,,,CR-R,-16.506067327766182,-13.963834313602803,1.5134730538922156,1.2684178196204245,1.2180616869221614,0.9809658288619034,,,CR-R,-6.425937500000001,-13.726807228915664,-17.30952380952381,1.3884335077923136,1.3100582409887631,0.9749894861836084,,,CR-R,-14.617500000000001,-6.643125,-0.2346875,1.7025672354664485,1.5363245295715076,0.9635426057480798,,,
,,,,UPH-R,-3.1605910267471957,-5.401207937877481,0.20135309278350516,1.1325784137640869,1.2500699077218071,0.9925976810015041,,,UPH-R,-10.972782258064516,-9.922883064516128,-12.668850806451612,1.113529386697246,1.2109946408709427,0.9935466551022726,,,UPH-R,-8.837832047986291,-6.485849056603773,0.2942753001715266,1.1516641393622913,1.2904063833735386,0.9916800894556781,,,
,,,,UPH-LC,-8.01648096564531,0.08704735376044569,7.513291724456773,1.1382544747050558,0.998682837904764,0.8977968262852632,,,UPH-LC,-3.0910714285714285,1.4723214285714286,2.74375,1.3085217577744623,0.9974463216817504,0.8190147923145671,,,UPH-LC,-2.65,-2.86875,-11.75625,3.686921341321092,0.9921487343759815,0.5941677019796849,,,
,,,,DOM-LC,0,0,0,0,0,0,,,DOM-LC,-4.4057528409090905,-1.3157670454545456,-1.150994318181818,1,1,1,,,DOM-LC,0,0,0,0,0,0,,,
,,,,OB Trans,1.4695889962754505,5.023930034207961,6.274293252411183,0.8908957803625771,0.7048901150255638,0.65666014188629,,,OB Trans,-1.6959197078504424,-8.300645446415263,-4.42052909886576,0.9373832666388546,0.81409328591924,0.778091951003015,,,OB Trans,-0.5172401972294002,0.9900747723033142,-1.419641609947686,0.6712026547630952,0.37388162499053107,0.3234747832909039,,,
