Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
ECR,2026-04-04,34751,Import Casegoods,5373477
1  ,2026-04-11,7569,Domestic Bedding,2512951
1  ,2026-04-11,15853,Domestic Casegoods,1621744
1  ,2026-04-11,29837,Import Casegoods,4378386
1  ,2026-04-11,2893,Imported Upholstery,1588124
1  ,2026-04-11,25260,Upholstery,7060956
1  ,2026-04-11,3931,Import Bedding,744321
15 ,2026-04-11,2032,Imported Upholstery,1167560
15 ,2026-04-11,5434,Import Bedding,1031082
15 ,2026-04-11,7235,Domestic Casegoods,758432
15 ,2026-04-11,16,Marketplace,0
15 ,2026-04-11,9179,Domestic Bedding,3303442
15 ,2026-04-11,25328,Import Casegoods,3822804
15 ,2026-04-11,17074,Upholstery,4826946
17 ,2026-04-11,5104,Import Bedding,1040531
17 ,2026-04-11,16032,Upholstery,4647283
17 ,2026-04-11,7561,Domestic Bedding,2636559
17 ,2026-04-11,3429,Imported Upholstery,2151132
17 ,2026-04-11,26038,Import Casegoods,4200572
17 ,2026-04-11,7538,Domestic Casegoods,753856
28 ,2026-04-11,5164,Domestic Casegoods,505829
28 ,2026-04-11,14649,Import Casegoods,2351766
28 ,2026-04-11,2831,Import Bedding,562944
28 ,2026-04-11,9787,Upholstery,2886920
28 ,2026-04-11,5293,Domestic Bedding,1851343
28 ,2026-04-11,1766,Imported Upholstery,1052240
335,2026-04-11,12,Domestic Casegoods,1903
335,2026-04-11,48553,Import Casegoods,8632524
335,2026-04-11,360,Import Bedding,165434
335,2026-04-11,9222,Imported Upholstery,5912134
335,2026-04-11,13594,Upholstery,3806305
42 ,2026-04-11,0,Upholstery,0
42 ,2026-04-11,0,Domestic Casegoods,0
42 ,2026-04-11,0,Import Casegoods,0
5  ,2026-04-11,6101,Import Bedding,1113071
5  ,2026-04-11,18154,Upholstery,5270804
5  ,2026-04-11,8727,Domestic Bedding,3172314
5  ,2026-04-11,12,Marketplace,0
5  ,2026-04-11,4916,Domestic Casegoods,515019
5  ,2026-04-11,25240,Import Casegoods,3714166
5  ,2026-04-11,2875,Imported Upholstery,1708558
ECR,2026-04-11,38019,Upholstery,11257575
ECR,2026-04-11,28068,Import Casegoods,4379970
ECR,2026-04-11,9285,Domestic Bedding,2923642
ECR,2026-04-11,21,Marketplace,0
ECR,2026-04-11,9749,Domestic Casegoods,965542
ECR,2026-04-11,4903,Import Bedding,871443
ECR,2026-04-11,3536,Imported Upholstery,2088466
1  ,2026-04-18,18001,Domestic Casegoods,1759212
1  ,2026-04-18,28535,Import Casegoods,4326077
1  ,2026-04-18,5477,Import Bedding,1019646
1  ,2026-04-18,7240,Domestic Bedding,2457327
1  ,2026-04-18,22082,Upholstery,6169036
1  ,2026-04-18,2842,Imported Upholstery,1575476
15 ,2026-04-18,1663,Imported Upholstery,982288
15 ,2026-04-18,4899,Import Bedding,902244
15 ,2026-04-18,7157,Domestic Casegoods,753918
15 ,2026-04-18,15840,Upholstery,4490728
15 ,2026-04-18,14,Marketplace,0
15 ,2026-04-18,19622,Import Casegoods,3051696
15 ,2026-04-18,8798,Domestic Bedding,3195167
17 ,2026-04-18,8092,Domestic Casegoods,818618
17 ,2026-04-18,17108,Upholstery,4995814
17 ,2026-04-18,2963,Imported Upholstery,1799286
17 ,2026-04-18,6967,Domestic Bedding,2483328
17 ,2026-04-18,30352,Import Casegoods,5018366
17 ,2026-04-18,4013,Import Bedding,838683
28 ,2026-04-18,3128,Import Bedding,637851
28 ,2026-04-18,5012,Domestic Bedding,1771888
28 ,2026-04-18,12937,Import Casegoods,2094700
28 ,2026-04-18,4153,Domestic Casegoods,431344
28 ,2026-04-18,9991,Upholstery,2954738
28 ,2026-04-18,1391,Imported Upholstery,898389
335,2026-04-18,10,Domestic Casegoods,1586
335,2026-04-18,41148,Import Casegoods,7228730
335,2026-04-18,528,Import Bedding,307151
335,2026-04-18,14654,Upholstery,4105366
335,2026-04-18,8285,Imported Upholstery,5310712
42 ,2026-04-18,0,Domestic Casegoods,0
42 ,2026-04-18,0,Import Casegoods,0
42 ,2026-04-18,0,Upholstery,0
5  ,2026-04-18,17591,Upholstery,5115110
5  ,2026-04-18,28450,Import Casegoods,4513925
5  ,2026-04-18,8,Marketplace,0
5  ,2026-04-18,5514,Import Bedding,1102738
5  ,2026-04-18,5432,Domestic Casegoods,556639
