Week Ending Date,Weekday,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Ecomm %,Unnamed: 12,Ecomm 2 WK,Ecomm 13 WK,Unnamed: 15,Demand Fulfillment Buffer,Unnamed: 17,Unnamed: 18,Unnamed: 19,Demand Fulfillment,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-03-23,Total,63564,13419852.96,211.12348121578253,5718,685746.71,119.92772123119971,69282,14105599.670000002,203.5968890909616,0.08253225946133194,,,,,,,,,,,,
2024-03-16,Total,64979,13701547.07,210.86115621970174,5846,671044.71,114.78698426274374,70825,14372591.780000001,202.93105231203674,0.08254147546770209,,,,,,,,,,,,
2024-03-09,Total,61016,13433259.43,220.1596209191032,6292,694071.26,110.31011760966307,67308,14127330.69,209.89081075057942,0.09348071551672907,,,,,,,,,,,,
2024-03-02,Total,62967,13978764.62,222.00143916654756,6159,705533.95,114.55332846241272,69126,14684298.569999998,212.42800928738822,0.08909816856175679,,,,,,,,,,,,
2024-02-24,Total,56381,12025372.37,213.28767439385607,6938,765525.9,110.33812337849524,63319,12790898.27,202.00726906615708,0.10957216633238048,,,,,,,,,,,,
2024-02-17,Total,55483,11694384.15,210.77418578663736,5321,567663.89,106.68368539748168,60804,12262048.040000001,201.66515426616672,0.08751069008617854,,,,,,,,,,,,
2024-02-10,Total,56279,11920959.88,211.81897119707173,5680,582475.49,102.54850176056338,61959,12503435.370000001,201.8017619716264,0.09167352604141449,,,,,,,,,,,,
2024-02-03,Total,59378,12686464.05,213.6559676984742,5167,570685.77,110.44818463324947,64545,13257149.82,205.3939084359749,0.08005267642729878,,,,,,,,,,,,
2024-01-27,Total,55208,12165271.34,220.35341508477032,5449,572645.54,105.09185905670766,60657,12737916.879999999,209.99912425606277,0.08983299536739371,,,,,,,,,,,,
2024-01-20,Total,55427,11990838.63,216.33569614087,5807,628066.09,108.15672292061305,61234,12618904.72,206.07676650227,0.09483293595061568,,,,,,,,,,,,
2024-01-13,Total,63502,13459625.53,211.9559309942994,5801,640520.07,110.41545767971039,69303,14100145.6,203.45649683274894,0.08370489012019681,,,,,,,,,,,,
2024-01-06,Total,47496,10359304.9,218.10899654707765,5739,647593.04,112.84074577452519,53235,11006897.940000001,206.76055114116656,0.10780501549732319,,,,,,,,,,,,
2023-12-30,Total,36069,7872689.51,218.26747373090464,4272,471866.13,110.4555547752809,40341,8344555.64,206.85049056790857,0.10589722614709601,,,,,,,,,,,,
2023-12-23,Total,60967,13301887.58,218.18176357701708,4720,549549.23,116.42992161016949,65687,13851436.81,210.87029107738215,0.07185592278533043,,,,,,,,,,,,
2023-12-16,Total,57595,12989240.47,225.52722406458895,5552,659825.55,118.84465958213258,63147,13649066.020000001,216.14749742663946,0.08792183318289072,,,,,,,,,,,,
2023-12-09,Total,70783,15014764.61,212.1238801689671,5793,690879.18,119.26103573278095,76576,15705643.79,205.09877494254073,0.0756503343083995,,,,,,,,,,,,
