Warehouse,Snapshot Week,Storage Type,Total DF%,Avg DF%,Adj Join,%,DF% ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
19,0,Upholstery,1.221069,1.676359,Upholstery_19_0,,,,,,,,,,,
19,1,Upholstery,1.031271,1.166903,Upholstery_19_1,,,,,,,,,,,
19,2,Upholstery,1.406881,2.335174,Upholstery_19_2,,,,,,,,,,,
19,3,Upholstery,1.383663,2.176883,Upholstery_19_3,,,,,,,,,,,
19,4,Upholstery,1.708669,2.069735,Upholstery_19_4,,,,,,,,,,,
19,5,Upholstery,2.376637,2.745748,Upholstery_19_5,,,,,,,,,,,
19,6,Upholstery,2.064672,2.828792,Upholstery_19_6,,,,,,,,,,,
19,7,Upholstery,1.963783,2.717766,Upholstery_19_7,,,,,,,,,,,
19,8,Upholstery,2.398375,3.045516,Upholstery_19_8,,,,,,,,,,,
19,9,Upholstery,2.222496,2.586232,Upholstery_19_9,,,,,,,,,,,
19,10,Upholstery,2.321726,3.190003,Upholstery_19_10,,,,,,,,,,,
19,11,Upholstery,2.299373,3.426071,Upholstery_19_11,,,,,,,,,,,
19,12,Upholstery,2.748625,3.160879,Upholstery_19_12,,,,,,,,,,,
19,13,Upholstery,2.677109,2.948196,Upholstery_19_13,,,,,,,,,,,
19,14,Upholstery,2.935639,2.902053,Upholstery_19_14,,,,,,,,,,,
19,15,Upholstery,2.847796,2.927103,Upholstery_19_15,,,,,,,,,,,
19,16,Upholstery,2.889213,3.444148,Upholstery_19_16,,,,,,,,,,,
19,17,Upholstery,2.80804,3.591606,Upholstery_19_17,,,,,,,,,,,
19,18,Upholstery,3.152804,4.418109,Upholstery_19_18,,,,,,,,,,,
19,19,Upholstery,3.294307,3.917427,Upholstery_19_19,,,,,,,,,,,
19,20,Upholstery,3.304471,3.453799,Upholstery_19_20,,,,,,,,,,,
19,21,Upholstery,3.268037,3.329779,Upholstery_19_21,,,,,,,,,,,
19,22,Upholstery,3.218495,3.243575,Upholstery_19_22,,,,,,,,,,,
19,23,Upholstery,3.222196,3.826207,Upholstery_19_23,,,,,,,,,,,
19,24,Upholstery,3.216262,4.177187,Upholstery_19_24,,,,,,,,,,,
19,25,Upholstery,3.156231,3.527407,Upholstery_19_25,,,,,,,,,,,
19,26,Upholstery,3.167599,3.553935,Upholstery_19_26,,,,,,,,,,,
28,0,Casegoods,1.072408,1,Casegoods_28_0,61,0.9760075900000001,,,,,,,,,
28,0,Upholstery,0.936981,0.938481,Upholstery_28_0,39,,,,,,,,,,
28,1,Casegoods,0.948983,0.999488,Upholstery_28_1,61,0.98318561,,,,,,,,,
