Unnamed: 0,Unnamed: 1
,
Row Labels,Average of Avg DF%
Upholstery,0.909567
5,0.8818405
Casegoods,0.951076
Upholstery,0.812605
6,0.9259040000000001
Casegoods,0.967303
Upholstery,0.884505
7,0.952894
Casegoods,1
Upholstery,0.905788
8,0.9430069999999999
Casegoods,1
Upholstery,0.886014
9,0.9010039999999999
Casegoods,0.955839
Upholstery,0.846169
10,0.8289955
Casegoods,0.86403
Upholstery,0.793961
11,0.773008
Casegoods,0.836481
Upholstery,0.709535
12,0.8012505000000001
Casegoods,0.85033
Upholstery,0.752171
13,0.831439
Casegoods,0.876972
Upholstery,0.785906
14,0.849852
Casegoods,0.899979
Upholstery,0.799725
15,0.8660945
Casegoods,0.919367
Upholstery,0.812822
16,0.876898
Casegoods,0.927583
Upholstery,0.826213
17,0.8910534999999999
Casegoods,0.9453
Upholstery,0.836807
18,0.905154
Casegoods,0.964315
Upholstery,0.845993
19,0.920614
Casegoods,0.97674
Upholstery,0.864488
20,0.930312
Casegoods,0.987696
Upholstery,0.872928
21,0.9410130000000001
Casegoods,0.999222
Upholstery,0.882804
22,0.9407795
Casegoods,1
Upholstery,0.881559
23,0.9389795000000001
Casegoods,1
Upholstery,0.877959
24,0.9398915
Casegoods,1
Upholstery,0.879783
25,0.9405715
Casegoods,1
Upholstery,0.881143
26,0.9419715
Casegoods,1
Upholstery,0.883943
Snapshot Week,
Casegoods,
Upholstery,
Grand Total,1.3045383994140625
