Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,AFIFinanceDivision,(Multiple Items),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,AFIFinanceDivision.1,(Multiple Items).1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,AFIFinanceDivision.2,(Multiple Items).2,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,,,,,,,,,,,,CG,,,,,,,,,,UPH,,,,,,,,,,,,,UPH,,,,,,,
Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,
Row Labels,1  ,15.0,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,,,,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total
2026-03-07 00:00:00,82610.6799196,58660.251162600005,64169.9803598,37167.729103800004,0.0,60712.21629140001,86181.51788580001,64566.3264125,454068.7011355001,2026-03-07 00:00:00,55508.950450200005,40823.393992200006,45084.2585682,26532.567253800004,0.0,41190.775882600006,51724.766889000006,45305.4,306170.11303600005,2026-03-07 00:00:00,27101.729469400005,17836.8571704,19085.7217916,10635.16185,0.0,19521.4404088,34456.7509968,19260.926412499997,147898.58809950002,,,,,,,,,,,,,
2026-03-14 00:00:00,81358,66142.0,67636.013295,39387.088172,0.0,69358.0,86151.23325300001,41586.0,451618.33472000004,2026-03-14 00:00:00,52200,42540,44741.0,27691.814528000003,0.0,48253.0,49667.668762,26239.0,291332.48329,2026-03-14 00:00:00,29158,23602,22895.013295,11695.273643999999,0.0,21105.0,36483.564491000005,15347.0,160285.85143,,,,,,,,,,,,,
2026-03-21 00:00:00,83440.250692,55220.145789,58869.432713999995,35834.115462999995,0.0,56444.746515000006,80815.47115900001,52577.610042,423201.77237400005,2026-03-21 00:00:00,57027.714492,38704.794816,39266.613906,24778.473786,0.0,38109.51144,47174.199572000005,32477.0,277538.30801200005,2026-03-21 00:00:00,26412.5362,16515.350973,19602.818808,11055.641677,0.0,18335.235075,33641.271586999996,20100.610042,145663.464362,,,,,,,,,,,,,
2026-03-28 00:00:00,85937.217521,56078.905048,69287.804865,36833.49473,0.0,55835.411337,85859.614119,80655.8301665,470488.27778649994,2026-03-28 00:00:00,54296.883081,39101.627115,49665.026648,25831.077302,0.0,36048.399312,54587.015691,63392.0,322922.02914899995,2026-03-28 00:00:00,31640.334440000002,16977.277933,19622.778217000003,11002.417427999999,0.0,19787.012025,31272.598427999998,17263.8301665,147566.24863750002,,,,,,,,,,,,,
2026-04-04 00:00:00,81051.51393799999,56337.31921,67864.372418,39819.145323000004,0.0,65529.60187299999,94852.762743,84809.669166,490264.38467099995,2026-04-04 00:00:00,56830.154678,40389.38547,50082.320658,29182.690663,0.0,45667.700213,57734.243039999994,55494.0,335380.494722,2026-04-04 00:00:00,24221.359259999997,15947.93374,17782.05176,10636.45466,0.0,19861.90166,37118.519703,29315.669166,154883.889949,,,,,,,,,,,,,
2026-04-11 00:00:00,81266.417447,59522.88576600001,57192.278507,33964.801831,0.0,56393.321732000004,83228.508155,63202.522688,434770.73612600006,2026-04-11 00:00:00,57190,43381.162560000004,41666.331629,25178.77999,0.0,37875.268448,49460.70738,48925.0,303677.25000700005,2026-04-11 00:00:00,24076.417447,16141.723206,15525.946878,8786.021841,0.0,18518.053284,33767.800775,14277.522688,131093.486119,,,,,,,,,,,,,
2026-04-18 00:00:00,83544.15471599999,50621.947381,62233.763941,32828.131644,0.0,58682.424389,79007.316227,58133.675902,425051.41420000006,2026-04-18 00:00:00,59253,35204.972424,44751.70216,23039.30433,0.0,40327.148555,47851.512107,41686.0,292113.63957600005,2026-04-18 00:00:00,24291.154715999997,15416.974957,17482.061781,9788.827314,0.0,18355.275834,31155.80412,16447.675902000003,132937.774624,,,,,,,,,,,,,
2026-04-25 00:00:00,94158,57546.343033,61564.381003999995,38914.225229,0.0,60897.87392500001,85264.776156,47086.3528755,445431.95222249994,2026-04-25 00:00:00,59980,38286.701372999996,41978.0427,25750.381814,0.0,38774.198425,52170,33319.0,290258.32431199995,2026-04-25 00:00:00,34178,19259.64166,19586.338304,13163.843415,0.0,22123.6755,33094.776156,13767.3528755,155173.62791049998,,,,,,,,,,,,,
2026-05-02 00:00:00,84794.823764,60121.790782,69147.273406,40317.488033,0.0,65506.732015,84552.102572,56874.0266,461314.237172,2026-05-02 00:00:00,58720,43270.30863,49789.38336,28673.447513,0.0,48817.556473000004,54518,40662.0,324450.695976,2026-05-02 00:00:00,26074.823764,16851.482152,19357.890046,11644.04052,0.0,16689.175542,30034.102572,16212.026600000001,136863.541196,,,,,,,,,,,,,
2026-05-09 00:00:00,83096.392119,59149.094702,57408.824391,36367.74421,0.0,62464.767859,86922.72078,45669.1511435,431078.6952045,2026-05-09 00:00:00,56413.133766,41350.929915,41028.067223,26208.613459,0.0,46667.798047,52693.492392,28100.0,292462.034802,2026-05-09 00:00:00,26683.258352999997,17798.164786999998,16380.757168,10159.130750999999,0.0,15796.969812,34229.228387999996,17569.1511435,138616.66040249998,,,,,,,,,,,,,
2026-05-16 00:00:00,73921.855973,53271.677224,62940.50532,44379.17268,0.0,62200.616356,92692.968182,47686.0,437092.795735,2026-05-16 00:00:00,50365.896,38709.23128,44728.49458,35037.382848,0.0,44564.343971999995,50778.17907,30199.0,294382.52775,2026-05-16 00:00:00,23555.959973,14562.445944000001,18212.01074,9341.789832,0.0,17636.272384,41914.789112,17487.0,142710.26798499998,,,,,,,,,,,,,
2026-05-23 00:00:00,77637.316292,73776.024147,63358.639043999996,40068.471745,0.0,64089.90273100001,94551.942783,44598.0,458080.29674200004,2026-05-23 00:00:00,55641.290958000005,54911.33208,46494.217749999996,28840.605675000003,0.0,46975.775484000005,68970.367893,27765.0,329598.58984000003,2026-05-23 00:00:00,21996.025334,18864.692067,16864.421294,11227.86607,0.0,17114.127247,25581.57489,16833.0,128481.706902,,,,,,,,,,,,,
2026-05-30 00:00:00,99317.64299800001,65645.111802,89778.64916999999,45158.38661,0.0,67852.67559,90836.109146,52620.0,511208.57531600003,2026-05-30 00:00:00,72116.14965800001,50963.555682,70768.46952,35044.95885,0.0,50954.39895,61752.66526,33821.0,375421.19792,2026-05-30 00:00:00,27201.493339999997,14681.556120000001,19010.17965,10113.42776,0.0,16898.27664,29083.443886,18799.0,135787.377396,,,,,,,,,,,,,
2026-06-06 00:00:00,90190.100154,55270.221475,65945.823856,36725.453433,0.0,59153.82382599999,85575.207968,50972.0,443832.6307120001,2026-06-06 00:00:00,66524.911978,41359.52119,48849.260455,26845.561801,0.0,41826.047296,56916.359771999996,31455.0,313776.66249200003,2026-06-06 00:00:00,23665.188176,13910.700285,17096.563401,9879.891631999999,0.0,17327.77653,28658.848196,19517.0,130055.96822000001,,,,,,,,,,,,,
2026-06-13 00:00:00,94645.793972,62554.068381000005,74557.064526,43195.2846,0.0,58958.969469,92145.542109,49891.0,475947.72305699997,2026-06-13 00:00:00,68706.491814,45150.328056,55669.330896,30755.83082,0.0,40263.406911,58427.536659,30581.0,329553.92515599995,2026-06-13 00:00:00,25939.302158000002,17403.740325000002,18887.73363,12439.45378,0.0,18695.562558,33718.005450000004,19310.0,146393.797901,,,,,,,,,,,,,
2026-06-20 00:00:00,88314.628881,54805.481205000004,66181.349382,33841.819304000004,0.0,55712.470976,85331.67986999999,48208.0,432395.42961800005,2026-06-20 00:00:00,66192.77658599999,39784.375287,49899.499206,24776.564708,0.0,37797.13377,54055.102132,30103.0,302608.451689,2026-06-20 00:00:00,22121.852295,15021.105918000001,16281.850176000002,9065.254596,0.0,17915.337206,31276.577738,18105.0,129786.97792900002,,,,,,,,,,,,,
2026-06-27 00:00:00,84953.98842000001,58200.30314,66376.92991,35812.013181,0.0,58068.161088,83839.126074,48831.0,436081.5218130001,2026-06-27 00:00:00,61511.160816,42213.917265000004,49296.7948,25826.364746000003,0.0,40941.70062,51908.472263,30293.0,301991.4105100001,2026-06-27 00:00:00,23442.827604,15986.385874999998,17080.13511,9985.648435,0.0,17126.460467999997,31930.653811,18538.0,134090.11130299998,,,,,,,,,,,,,
2026-07-04 00:00:00,98795.091882,62380.365101999996,67810.857242,43381.945358,0.0,63202.228192,88086.266483,45379.0,469035.754259,2026-07-04 00:00:00,62848.07466599999,46608.73119,52046.09205,31713.3206,0.0,46222.278895,55811.4573,28769.0,324018.954701,2026-07-04 00:00:00,35947.017216,15771.633912,15764.765191999999,11668.624758,0.0,16979.949297,32274.809182999998,16610.0,145016.799558,,,,,,,,,,,,,
2026-07-11 00:00:00,89307.615099,64529.666395,65926.923616,40664.018871,0.0,67091.349322,92386.593047,48358.0,468264.16634999996,2026-07-11 00:00:00,61586.110056,48287.39623,49120.126604,29279.414367,0.0,49622.50597,60273.544760000004,29844.0,328013.09798699996,2026-07-11 00:00:00,27721.505043,16242.270165000002,16806.797012,11384.604504,0.0,17468.843352,32113.048287,18514.0,140251.068363,,,,,,,,,,,,,
2026-07-18 00:00:00,83942.000787,59967.324852000005,63723.255752,38619.993672,0.0,59417.954904,89606.53897200001,48193.0,443470.068939,2026-07-18 00:00:00,58369.845236,43559.677882,46022.52268,27868.0392,0.0,41729.557359,58347.517380000005,29898.0,305795.159737,2026-07-18 00:00:00,25572.155551,16407.64697,17700.733072,10751.954472,0.0,17688.397545,31259.021592,18295.0,137674.909202,,,,,,,,,,,,,
2026-07-25 00:00:00,84137.46305,58918.620383999994,63412.330334,36573.846204,0.0,57664.117644,86832.646704,45741.0,433280.02432,2026-07-25 00:00:00,59775.802800000005,43472.331474,46779.5732,26192.28429,0.0,40354.494911,56439.912528,28840.0,301854.399203,2026-07-25 00:00:00,24361.66025,15446.28891,16632.757134,10381.561914,0.0,17309.622733,30392.734176,16901.0,131425.62511700002,,,,,,,,,,,,,
2026-08-01 00:00:00,82988.050028,61921.371984,67146.92796500001,38945.559894000005,0.0,58763.383593,89887.91758200001,46885.0,446538.21104600007,2026-08-01 00:00:00,58690.768493,46246.078896,50260.445040000006,28239.633390000003,0.0,41859.61728,58669.31973,28468.0,312433.86282900005,2026-08-01 00:00:00,24297.281535,15675.293088,16886.482925,10705.926504000001,0.0,16903.766313,31218.597852000003,18417.0,134104.34821700002,,,,,,,,,,,,,
2026-08-08 00:00:00,90786.683422,62717.958166,67674.158368,37310.711931,0.0,60341.856187,89923.429442,48887.0,457641.797516,2026-08-08 00:00:00,64883.184131999995,45797.40489,49825.940736,26048.983986,0.0,42216.251571,56567,30055.0,315393.76531499997,2026-08-08 00:00:00,25903.49929,16920.553276,17848.217632,11261.727945,0.0,18125.604616,33356.429442,18832.0,142248.032201,,,,,,,,,,,,,
2026-08-15 00:00:00,87818.583332,61653.498808000004,64122.968775999994,35659.328906999996,0.0,58698.32434399999,87888.201031,48146.0,443986.90519799996,2026-08-15 00:00:00,62848.953001999995,45276.99544,46386.715648,24580.234334999997,0.0,41392.190268,55747,29469.0,305701.08869299997,2026-08-15 00:00:00,24969.63033,16376.503368000002,17736.253128,11079.094572,0.0,17306.134076,32141.201031,18677.0,138285.816505,,,,,,,,,,,,,
