Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,15,,,,17,,,,28,,,,42,,,,5,,,,ECR,,,,Total Sum of Billable Volume,Total Sum of Billable Invoicing,Total Sum of Ecommerce Volume,Total Sum of Ecommerce Invoicing
DATE,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,,,,
2025-10-11 00:00:00,77495,15145401.94,7496,1154990.04,56924,13573242.62,10178,1629765.59,56976.005,13757173.58,7316,1140849.76,34101.978,8473723.09,7748,955016.33,0,-120.52,0,0,57487.828,13662786.7,8741,1307680.65,82995.37,20623120.49,8945,1567780.33,365980.181,85235327.9,50424,7756082.7
2025-10-04 00:00:00,90609,10290493.62,5395,711300.42,55907,12363309.31,9065,1379183.5,64655.004,14744771.78,6349,908035.46,36392.982,8514197.34,5103,699759.67,0,-132.89,0,0,54009.933,12912149.41,7459,1124082.62,90493.483,21063121.07,8223,1456634.01,392067.402,79887909.64,41594,6278995.68
2025-09-27 00:00:00,85372,15262687.7,4678,700988.67,64037,13873848.42,9700,1368665.84,67874.002,15519538.56,6894,954450.75,40341.013,9274350.74,4439,627119.01,0,-64.85,0,0,52974.933,12513726.5,7317,1047455.17,88018.336,20879048.01,8717,1725616.98,398617.284,87323135.08,41745,6424296.42
2025-09-20 00:00:00,89567,17366741.96,4761,690758.92,59670,13131805.54,9831,1296614.59,61143.031,14194683.62,7117,1076219.32,39595.963,9163871.33,4058,563511.45,0,-3881.79,0,0,56406.892,13415044.55,7802,1155312.47,92569.38,22679554.67,7797,1384437.43,398952.266,89947819.88,41366,6166854.18
2025-09-13 00:00:00,96372.998,19931639.24,5191,795027.03,69147,15419013.76,11274,1582920.86,74343.009,17465819.62,8147,1121247.66,42381.999,9826049.8,5030,701301.16,0,-155.27,0,0,72195.716,16705883.92,9331,1313578.87,98212.4,23283725.99,9642,1794598.34,452653.122,102631977.1,48615,7308673.92
2025-09-06 00:00:00,88152,15815598.19,9959,1533004.43,54146,12319505.27,21157,3098660.98,64945.055,15203410.92,14397,1943282.13,38127.954,9157664.31,8255,1192765.36,0,-88.33,0,0,61649,14635841.81,18097,2520649.78,87690.28,21024471.85,14501,2584894.74,394710.289,88156404.02,86366,12873257.42
2025-08-30 00:00:00,77505,15062831.22,7083,1120569.44,56867,12745413.29,15407,2262876,60572.008,14340783.19,10966,1447294.39,38875.959,8936968.32,6287,878391.43,0,-168.12,0,0,64183.938,14932864.3,11928,1723855.82,91173.319,21421854.94,9535,1783930.91,389177.224,87440547.14,61206,9216917.99
2025-08-23 00:00:00,83415,13707082.54,6389,1036743.08,55104,12191961.02,10994,1600140.02,62408.007,14511418.21,8361,1082648.95,36421.961,8534062.9,5564,848780.14,0,-414.79,0,0,54357.828,12900636.37,9991,1443078.14,89792.324,21721684.64,6913,1226333.58,381499.12,83566430.89,48212,7237723.91
2025-08-16 00:00:00,86104,16909116.09,6218,926285.94,55279,12621857.18,10706,1488577.26,60776.033,14467002.56,8445,1315060.27,35851.993,8162108.3,6190,987072.86,0,-39.79,0,0,54204.91,12989240.94,10913,1647779.16,86933.296,20712285.06,8423,1502026.95,379149.232,85861570.34,50895,7866802.44
2025-08-09 00:00:00,84048,17098751.6,5174,741321.94,52395,12091891.65,10914,1476466.46,57189.027,13579845.1,7826,1048244.77,33666,7947827.4,4997,730950.98,0,-123.55,0,0,55740.839,13157371.26,9301,1278841.63,92310.358,22630140.89,12437,2531022.13,375349.224,86505704.35,50649,7806847.91
